"CUISINECODE","VIOLATIONCODE","VIOLATIONDESC","A","B","D","C","ratio","CODEDESC"
"84","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",261,1958,520720,66420,1.04504070576967,"Vegetarian"
"55","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",1155,18419,520720,31331,1.04218768800555,"Mexican"
"81","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",260,2836,520720,45819,1.0418993654156,"Tex-Mex"
"27","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",412,9590,520720,21508,1.04011854453652,"Delicatessen"
"18","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",569,7442,520720,38306,1.03934577488876,"Chicken"
"35","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",375,7409,520720,25370,1.0388562675028,"French"
"53","04J","Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",326,26063,520720,6272,1.03846390261588,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"43","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",229,3670,520720,31331,1.03704934140408,"Ice Cream, Gelato, Yogurt, Ices"
"69","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",406,6510,520720,31331,1.03651370057413,"Sandwiches"
"55","09B","Thawing procedures improper.",160,18419,520720,4364,1.03650989252172,"Mexican"
"03","10I","Single service item reused, improperly stored, dispensed; not used when required.",973,125458,520720,3898,1.03604090865558,"American "
"03","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",16562,125458,520720,66420,1.03495104566198,"American "
"53","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",826,26063,520720,15954,1.03440429257366,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"54","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",132,4169,520720,15954,1.03341963024963,"Mediterranean"
"14","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",913,14860,520720,30966,1.03316840621186,"Caf/Coffee/Tea"
"62","08C","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.",317,25687,520720,6240,1.02983001478349,"Pizza"
"49","20F","Current letter grade card not posted.",137,18374,520720,3775,1.02849967237033,"Japanese"
"53","15L","Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",161,26063,520720,3128,1.02834534419991,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"03","09A","Canned food product observed dented and not segregated from other consumable food items.",677,125458,520720,2734,1.02777028478992,"American "
"54","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",377,4169,520720,45819,1.02770414259104,"Mediterranean"
"49","10I","Single service item reused, improperly stored, dispensed; not used when required.",141,18374,520720,3898,1.02512735917524,"Japanese"
"50","04M","Live roaches present in facility's food and/or non-food areas.",216,7532,520720,14568,1.02505640951162,"Jewish/Kosher"
"17","10H","Proper sanitization not provided for utensil ware washing operation.",276,16100,520720,8727,1.02287482198104,"Caribbean"
"03","22C","Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",1084,125458,520720,4401,1.02231283246669,"American "
"49","08C","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.",225,18374,520720,6240,1.02187664844136,"Japanese"
"62","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",3348,25687,520720,66420,1.02182718093775,"Pizza"
"17","09C","Food contact surface not properly maintained.",215,16100,520720,6806,1.02170353889425,"Caribbean"
"22","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",117,1303,520720,45819,1.02046966242777,"Chinese/Japanese"
"08","06F","Wiping cloths soiled or not stored in sanitizing solution.",316,16100,520720,10016,1.02040164308535,"Bakery"
"53","06F","Wiping cloths soiled or not stored in sanitizing solution.",511,26063,520720,10016,1.01931036114384,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"27","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",588,9590,520720,31331,1.01903410884535,"Delicatessen"
"03","10A","Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",1438,125458,520720,5860,1.01851438853638,"American "
"49","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",1376,18374,520720,38306,1.01801030925392,"Japanese"
"77","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",1268,13090,520720,49564,1.01769471040337,"Spanish"
"73","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",133,1025,520720,66420,1.01726279918626,"Soul Food"
"44","10H","Proper sanitization not provided for utensil ware washing operation.",139,8170,520720,8727,1.01515422458951,"Indian"
"62","99B","Other general violation.",113,25687,520720,2257,1.01493389654078,"Pizza"
"05","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",238,7654,520720,15954,1.01489980715723,"Asian"
"81","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",367,2836,520720,66420,1.01453077373588,"Tex-Mex"
"55","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",909,18419,520720,25370,1.0129351144085,"Mexican"
"81","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",273,2836,520720,49564,1.01133335435349,"Tex-Mex"
"72","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",195,3245,520720,30966,1.01050637873419,"Seafood"
"52","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",517,6957,520720,38306,1.01019681273981,"Korean"
"03","10E","Accurate thermometer not provided in refrigerated or hot holding equipment.",860,125458,520720,3536,1.00946692405001,"American "
"54","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",111,4169,520720,13741,1.00896709399392,"Mediterranean"
"03","08C","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.",1516,125458,520720,6240,1.00837137855104,"American "
"82","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",336,6843,520720,25370,1.00780504646964,"Thai"
"44","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",724,8170,520720,45819,1.00710594983085,"Indian"
"82","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",211,6843,520720,15954,1.00639990271607,"Thai"
"61","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",114,1886,520720,31331,1.0045999792927,"Peruvian"
"53","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",1926,26063,520720,38306,1.00454485339241,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"84","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",173,1958,520720,45819,1.00413491367786,"Vegetarian"
"03","09C","Food contact surface not properly maintained.",1646,125458,520720,6806,1.00379212621962,"American "
"50","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",449,7532,520720,30966,1.002432592799,"Jewish/Kosher"
"03","20D","“Choking first aid” poster not posted. “Alcohol and pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted. Inspection report sign not posted.",469,125458,520720,1945,1.00082728246174,"American "
"82","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",650,6843,520720,49564,0.99794068076049,"Thai"
"35","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",543,7409,520720,38306,0.996271459235596,"French"
"55","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",1746,18419,520720,49564,0.99590084694845,"Mexican"
"29","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",113,6303,520720,9381,0.995144756306199,"Donuts"
"14","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",610,14860,520720,21508,0.993837217539137,"Caf/Coffee/Tea"
"62","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",2245,25687,520720,45819,0.99325694794963,"Pizza"
"55","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",329,18419,520720,9381,0.99148231614927,"Mexican"
"52","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",410,6957,520720,30966,0.991016767164525,"Korean"
"05","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",451,7654,520720,30966,0.990848447096937,"Asian"
"63","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",1003,10645,520720,49564,0.989904224110903,"Pizza/Italian"
"29","04A","Food Protection Certificate not held by supervisor of food operations.",111,6303,520720,9264,0.989877342724371,"Donuts"
"49","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",1600,18374,520720,45819,0.989634718061021,"Japanese"
"29","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",375,6303,520720,31331,0.988812533372803,"Donuts"
"77","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",778,13090,520720,31331,0.987802116531978,"Spanish"
"38","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",222,2555,520720,45819,0.987462750670991,"Greek"
"03","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",10890,125458,520720,45819,0.986479743679774,"American "
"50","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",947,7532,520720,66420,0.985700677210938,"Jewish/Kosher"
"03","99B","Other general violation.",536,125458,520720,2257,0.985687227995737,"American "
"55","06F","Wiping cloths soiled or not stored in sanitizing solution.",349,18419,520720,10016,0.985075055328164,"Mexican"
"22","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",122,1303,520720,49564,0.983678830592328,"Chinese/Japanese"
"63","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",630,10645,520720,31331,0.983614416945603,"Pizza/Italian"
"27","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",1203,9590,520720,66420,0.983450278020333,"Delicatessen"
"03","04A","Food Protection Certificate not held by supervisor of food operations.",2195,125458,520720,9264,0.983426431943686,"American "
"78","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",225,1797,520720,66420,0.981611930754811,"Steak"
"52","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",650,6957,520720,49564,0.981588052097748,"Korean"
"67","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",189,2023,520720,49564,0.981530572893207,"Russian"
"77","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",944,13090,520720,38306,0.980324376775862,"Spanish"
"20","22A","Nuisance created or allowed to exist. Facility not free from unsafe, hazardous, offensive or annoying conditions.",200,60880,520720,1746,0.97975022314944,"Chinese"
"43","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",342,3670,520720,49564,0.979034400682397,"Ice Cream, Gelato, Yogurt, Ices"
"38","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",184,2555,520720,38306,0.978958705482466,"Greek"
"67","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",119,2023,520720,31331,0.977644768290004,"Russian"
"48","08C","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.",300,25637,520720,6240,0.97650331101983,"Italian"
"20","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",1567,60880,520720,13741,0.975394430912179,"Chinese"
"03","04J","Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",1473,125458,520720,6272,0.974770990112635,"American "
"55","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",550,18419,520720,15954,0.974611008223103,"Mexican"
"07","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",214,3657,520720,31331,0.972565399791915,"Bagels/Pretzels"
"72","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",402,3245,520720,66420,0.97121803678232,"Seafood"
"53","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",1523,26063,520720,31331,0.971192905490408,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"08","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",1990,16100,520720,66420,0.969019658450553,"Bakery"
"54","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",297,4169,520720,38306,0.968416116463633,"Mediterranean"
"72","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",299,3245,520720,49564,0.968042439471265,"Seafood"
"82","10H","Proper sanitization not provided for utensil ware washing operation.",111,6843,520720,8727,0.967867086413453,"Thai"
"20","04J","Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",708,60880,520720,6272,0.965510103515782,"Chinese"
"18","04M","Live roaches present in facility's food and/or non-food areas.",201,7442,520720,14568,0.965407609068615,"Chicken"
"08","04J","Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",187,16100,520720,6272,0.964303935860058,"Bakery"
"50","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",639,7532,520720,45819,0.964160197313827,"Jewish/Kosher"
"62","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",1471,25687,520720,30966,0.962982591357273,"Pizza"
"77","10H","Proper sanitization not provided for utensil ware washing operation.",211,13090,520720,8727,0.961794061666668,"Spanish"
"55","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",467,18419,520720,13741,0.960808312186406,"Mexican"
"48","22C","Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",208,25637,520720,4401,0.959950903157508,"Italian"
"44","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",471,8170,520720,31331,0.958139738029139,"Indian"
"82","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",482,6843,520720,38306,0.957498169653464,"Thai"
"53","09B","Thawing procedures improper.",209,26063,520720,4364,0.956844574556055,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"55","06B","Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",109,18419,520720,3221,0.956696056417183,"Mexican"
"62","06B","Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",152,25687,520720,3221,0.956629426586222,"Pizza"
"55","09C","Food contact surface not properly maintained.",230,18419,520720,6806,0.955375504446349,"Mexican"
"48","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",1801,25637,520720,38306,0.95495732348592,"Italian"
"39","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",193,7663,520720,13741,0.954430704541541,"Hamburgers"
"69","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",457,6510,520720,38306,0.954273064913527,"Sandwiches"
"28","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",105,1829,520720,31331,0.954125703333875,"Vietnamese/Cambodian/Malaysia"
"56","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",232,3313,520720,38306,0.951927784914806,"Middle Eastern"
"03","04K","Evidence of rats or live rats present in facility's food and/or non-food areas.",758,125458,520720,3306,0.951639050538187,"American "
"20","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",7384,60880,520720,66420,0.950872815488266,"Chinese"
"05","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",691,7654,520720,49564,0.948478519467916,"Asian"
"50","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",295,7532,520720,21508,0.948234899516449,"Jewish/Kosher"
"28","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",165,1829,520720,49564,0.947781328967713,"Vietnamese/Cambodian/Malaysia"
"53","99B","Other general violation.",107,26063,520720,2257,0.947179027077482,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"27","04M","Live roaches present in facility's food and/or non-food areas.",254,9590,520720,14568,0.946715385729804,"Delicatessen"
"44","09C","Food contact surface not properly maintained.",101,8170,520720,6806,0.945826833620418,"Indian"
"63","05D","Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.",115,10645,520720,5960,0.943865633107518,"Pizza/Italian"
"08","10A","Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",171,16100,520720,5860,0.943793271574841,"Bakery"
"77","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",1087,13090,520720,45819,0.943731713741073,"Spanish"
"54","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",501,4169,520720,66420,0.942130834916728,"Mediterranean"
"48","04M","Live roaches present in facility's food and/or non-food areas.",675,25637,520720,14568,0.941111098758815,"Italian"
"77","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",600,13090,520720,25370,0.940795854658917,"Spanish"
"54","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",162,4169,520720,21508,0.940778427238641,"Mediterranean"
"03","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",3113,125458,520720,13741,0.940300527383786,"American "
"08","05D","Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.",173,16100,520720,5960,0.938811121764142,"Bakery"
"55","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",1272,18419,520720,38306,0.938768519531402,"Mexican"
"81","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",160,2836,520720,31331,0.937656477344433,"Tex-Mex"
"62","10D","Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",230,25687,520720,4979,0.93643272547049,"Pizza"
"38","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",305,2555,520720,66420,0.93586740607567,"Greek"
"03","05H","No facilities available to wash, rinse and sanitize utensils and/or equipment.",190,125458,520720,844,0.93436605622969,"American "
"43","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",167,3670,520720,25370,0.933972734859233,"Ice Cream, Gelato, Yogurt, Ices"
"63","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",1267,10645,520720,66420,0.933117504234903,"Pizza/Italian"
"18","02B","Hot food item not held at or above 140º F.",327,7442,520720,24523,0.933015260928584,"Chicken"
"63","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",262,10645,520720,13741,0.932699071588392,"Pizza/Italian"
"03","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",11126,125458,520720,49564,0.931705385691666,"American "
"82","02B","Hot food item not held at or above 140º F.",300,6843,520720,24523,0.930905026073725,"Thai"
"49","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",1626,18374,520720,49564,0.929725493008515,"Japanese"
"54","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",230,4169,520720,30966,0.92771609224159,"Mediterranean"
"49","22C","Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",144,18374,520720,4401,0.927281659444538,"Japanese"
"35","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",653,7409,520720,49564,0.925958444557856,"French"
"14","10I","Single service item reused, improperly stored, dispensed; not used when required.",103,14860,520720,3898,0.925935721600683,"Caf/Coffee/Tea"
"49","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",1023,18374,520720,31331,0.925341252058967,"Japanese"
"05","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",521,7654,520720,38306,0.925308857826905,"Asian"
"63","08C","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.",118,10645,520720,6240,0.925030410328672,"Pizza/Italian"
"50","06F","Wiping cloths soiled or not stored in sanitizing solution.",134,7532,520720,10016,0.924920551970803,"Jewish/Kosher"
"18","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",124,7442,520720,9381,0.924883735074248,"Chicken"
"08","04C","Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.",135,16100,520720,4726,0.923886101203071,"Bakery"
"48","06F","Wiping cloths soiled or not stored in sanitizing solution.",455,25637,520720,10016,0.922686435252763,"Italian"
"27","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",842,9590,520720,49564,0.922425700176446,"Delicatessen"
"08","10D","Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",142,16100,520720,4979,0.922411270191949,"Bakery"
"67","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",238,2023,520720,66420,0.922330269054325,"Russian"
"49","10D","Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",162,18374,520720,4979,0.922090260316799,"Japanese"
"49","04J","Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",204,18374,520720,6272,0.921774446145063,"Japanese"
"48","09B","Thawing procedures improper.",198,25637,520720,4364,0.921547029354736,"Italian"
"38","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",224,2555,520720,49564,0.921075062213737,"Greek"
"53","10A","Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",270,26063,520720,5860,0.920547075549021,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"03","10C","Lighting inadequate; permanent lighting not provided in food preparation areas, ware washing areas, and storage rooms.",106,125458,520720,479,0.918493845231656,"American "
"53","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",631,26063,520720,13741,0.917467891272831,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"17","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",1884,16100,520720,66420,0.917403535940121,"Caribbean"
"23","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",115,983,520720,66420,0.917169723296645,"Continental"
"29","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",550,6303,520720,49564,0.916755011202045,"Donuts"
"56","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",387,3313,520720,66420,0.915787932403924,"Middle Eastern"
